x1 x2 x3 x4
0.28240965 0.23053061 0.24065402 0.24640572
0.28244129 0.23054771 0.24060278 0.24640821
0.28247268 0.23056496 0.24055162 0.24641074
0.28250381 0.23058235 0.24050055 0.24641329
0.28253468 0.23059989 0.24044956 0.24641588
0.28256529 0.23061757 0.24039865 0.24641849
0.28259564 0.23063539 0.24034783 0.24642114
0.28262574 0.23065336 0.24029709 0.24642381
0.28265558 0.23067148 0.24024643 0.24642652
0.28268516 0.23068974 0.24019586 0.24642925
0.28271448 0.23070814 0.24014537 0.24643201
0.28274354 0.23072669 0.24009496 0.24643481
0.28277234 0.23074538 0.24004465 0.24643763
0.28280089 0.23076422 0.23999441 0.24644048
0.28282917 0.23078319 0.23994427 0.24644337
0.28285720 0.23080232 0.23989421 0.24644628
0.28288496 0.23082158 0.23984424 0.24644922
0.28291246 0.23084099 0.23979435 0.24645219
0.28293971 0.23086055 0.23974455 0.24645519
0.28296669 0.23088025 0.23969484 0.24645822
0.28299341 0.23090009 0.23964522 0.24646128
0.28301988 0.23092007 0.23959569 0.24646437
0.28304608 0.23094019 0.23954624 0.24646749
0.28307202 0.23096046 0.23949688 0.24647063
0.28309770 0.23098087 0.23944762 0.24647381
0.28312312 0.23100143 0.23939844 0.24647702
0.28314827 0.23102212 0.23934935 0.24648025
0.28317317 0.23104296 0.23930036 0.24648352
0.28319780 0.23106394 0.23925145 0.24648681
0.28322217 0.23108506 0.23920264 0.24649013
0.28324628 0.23110632 0.23915391 0.24649348
0.28327013 0.23112773 0.23910528 0.24649686
0.28329371 0.23114928 0.23905674 0.24650027
0.28331704 0.23117096 0.23900829 0.24650371
0.28334009 0.23119279 0.23895994 0.24650718
0.28336289 0.23121476 0.23891167 0.24651067
0.28338542 0.23123688 0.23886351 0.24651420
0.28340769 0.23125913 0.23881543 0.24651775
0.28342970 0.23128152 0.23876745 0.24652133
0.28345144 0.23130405 0.23871956 0.24652494
0.28347292 0.23132673 0.23867177 0.24652858
0.28349414 0.23134954 0.23862407 0.24653225
0.28351509 0.23137249 0.23857647 0.24653594
0.28353578 0.23139559 0.23852896 0.24653967
0.28355621 0.23141882 0.23848155 0.24654342
0.28357637 0.23144220 0.23843423 0.24654720
0.28359626 0.23146571 0.23838701 0.24655101
0.28361590 0.23148936 0.23833989 0.24655485
0.28363526 0.23151315 0.23829287 0.24655872
0.28365437 0.23153708 0.23824594 0.24656261
0.28367320 0.23156115 0.23819911 0.24656654
0.28369178 0.23158536 0.23815237 0.24657049
0.28371009 0.23160971 0.23810574 0.24657447
0.28372813 0.23163419 0.23805920 0.24657848
0.28374591 0.23165881 0.23801277 0.24658251
0.28376342 0.23168358 0.23796643 0.24658658
0.28378067 0.23170847 0.23792019 0.24659067
0.28379765 0.23173351 0.23787405 0.24659479
0.28381437 0.23175869 0.23782801 0.24659893
0.28383082 0.23178400 0.23778207 0.24660311
0.28384700 0.23180945 0.23773624 0.24660731
0.28386292 0.23183503 0.23769050 0.24661154
0.28387858 0.23186076 0.23764486 0.24661580
0.28389397 0.23188662 0.23759933 0.24662009
0.28390909 0.23191262 0.23755390 0.24662440
0.28392394 0.23193875 0.23750857 0.24662874
0.28393853 0.23196502 0.23746334 0.24663311
0.28395286 0.23199143 0.23741821 0.24663751
0.28396691 0.23201797 0.23737319 0.24664193
0.28398070 0.23204465 0.23732827 0.24664638
0.28399423 0.23207146 0.23728346 0.24665086
0.28400748 0.23209841 0.23723874 0.24665536
0.28402047 0.23212549 0.23719414 0.24665990
0.28403320 0.23215271 0.23714963 0.24666446
0.28404566 0.23218007 0.23710523 0.24666904
0.28405785 0.23220756 0.23706094 0.24667366
0.28406977 0.23223518 0.23701675 0.24667830
0.28408143 0.23226294 0.23697267 0.24668297
0.28409282 0.23229083 0.23692869 0.24668766
0.28410394 0.23231886 0.23688482 0.24669238
0.28411479 0.23234702 0.23684106 0.24669713
0.28412538 0.23237531 0.23679740 0.24670191
0.28413570 0.23240374 0.23675385 0.24670671
0.28414576 0.23243230 0.23671040 0.24671154
0.28415554 0.23246100 0.23666706 0.24671640
0.28416506 0.23248982 0.23662384 0.24672128
0.28417431 0.23251878 0.23658071 0.24672619
0.28418330 0.23254788 0.23653770 0.24673112
0.28419201 0.23257710 0.23649480 0.24673609
0.28420046 0.23260646 0.23645200 0.24674107
0.28420864 0.23263595 0.23640932 0.24674609
0.28421656 0.23266557 0.23636674 0.24675113
0.28422421 0.23269532 0.23632427 0.24675620
0.28423158 0.23272521 0.23628191 0.24676129
0.28423870 0.23275523 0.23623967 0.24676641
0.28424554 0.23278537 0.23619753 0.24677156
0.28425212 0.23281565 0.23615550 0.24677673
0.28425842 0.23284606 0.23611359 0.24678193
0.28426446 0.23287660 0.23607179 0.24678715
0.28427024 0.23290727 0.23603009 0.24679240
0.28427574 0.23293807 0.23598851 0.24679768
0.28428098 0.23296900 0.23594704 0.24680298
0.28428595 0.23300006 0.23590569 0.24680831
0.28429065 0.23303125 0.23586444 0.24681366
0.28429508 0.23306257 0.23582331 0.24681904
0.28429925 0.23309401 0.23578229 0.24682444
0.28430315 0.23312559 0.23574139 0.24682987
0.28430678 0.23315730 0.23570060 0.24683533
0.28431014 0.23318913 0.23565992 0.24684081
0.28431324 0.23322109 0.23561935 0.24684631
0.28431607 0.23325318 0.23557890 0.24685185
0.28431863 0.23328540 0.23553857 0.24685740
0.28432092 0.23331775 0.23549835 0.24686299
0.28432294 0.23335022 0.23545824 0.24686859
0.28432470 0.23338282 0.23541825 0.24687423
0.28432619 0.23341555 0.23537838 0.24687988
0.28432741 0.23344841 0.23533862 0.24688557
0.28432836 0.23348139 0.23529898 0.24689127
0.28432905 0.23351450 0.23525945 0.24689701
0.28432946 0.23354773 0.23522004 0.24690276
0.28432961 0.23358109 0.23518075 0.24690854
0.28432950 0.23361458 0.23514157 0.24691435
0.28432911 0.23364819 0.23510252 0.24692018
0.28432846 0.23368193 0.23506357 0.24692604
0.28432754 0.23371579 0.23502475 0.24693192
0.28432635 0.23374978 0.23498604 0.24693783
0.28432490 0.23378389 0.23494746 0.24694376
0.28432318 0.23381813 0.23490899 0.24694971
0.28432119 0.23385249 0.23487064 0.24695569
0.28431893 0.23388697 0.23483241 0.24696169
0.28431641 0.23392158 0.23479429 0.24696772
0.28431362 0.23395631 0.23475630 0.24697377
